1,17,49,2,20,34,3,17,49,
1,20,72,2,19,68,3,20,72,
1,19,56,2,16,47,3,19,56,
1,18,64,2,13,50,3,18,64,
1,16,53,2,20,53,3,20,53,
1,18,61,2,18,79,3,18,79,
1,19,51,2,20,43,3,17,48,
1,20,58,2,19,37,3,20,58,
1,19,83,2,19,86,3,19,86,
1,20,75,2,17,59,3,20,75,
1,20,84,2,17,68,3,19,77,
1,20,62,2,16,56,3,16,56,
1,19,89,2,18,85,3,19,89,
1,19,64,2,19,64,3,19,64,
1,20,75,2,19,60,3,20,77,
1,20,74,2,19,70,3,19,70,
1,19,69,2,18,67,3,19,69,
1,19,68,2,17,68,3,18,77,
1,20,53,2,20,50,3,20,50,
1,20,56,2,19,68,3,19,68,
1,18,66,2,16,57,3,18,66,
1,18,75,2,15,66,3,17,77,
1,19,53,2,16,58,3,16,58,
1,19,37,2,16,26,3,18,43,
1,19,43,2,17,22,3,19,47,
1,20,69,2,16,57,3,20,69,
1,19,54,2,16,51,3,16,51,
1,20,59,2,17,82,3,17,82,
1,19,52,2,17,40,3,19,52,
1,20,60,2,20,56,3,18,62,
1,19,62,2,18,64,3,19,78,
1,20,44,2,17,48,3,19,53,
1,20,49,2,18,54,3,20,61,
1,20,72,2,18,58,3,20,72,
1,19,56,2,19,44,3,20,55,
1,17,45,2,13,32,3,17,45,
1,18,54,2,19,37,3,18,51,
1,20,59,2,15,45,3,19,59,
1,20,58,2,17,29,3,20,58,
1,19,61,2,15,53,3,18,63,
1,19,80,2,18,69,3,19,80,
1,20,102,2,20,105,3,20,105,
1,20,50,2,18,44,3,20,50,
1,18,35,2,16,16,3,18,35,
1,20,59,2,18,55,3,20,64,
1,18,47,2,18,39,3,20,51,
1,20,72,2,19,65,3,20,72,
1,20,76,2,19,68,3,20,69,
1,19,66,2,15,53,3,17,65,
1,20,66,2,16,61,3,19,70,
1,20,50,2,20,34,3,19,45,
1,19,67,2,18,43,3,19,67,
1,20,71,2,15,62,3,18,71,
1,20,55,2,16,58,3,17,60,
1,19,77,2,18,63,3,19,77,
1,20,60,2,18,56,3,18,56,
1,18,32,2,16,29,3,16,29,
1,18,65,2,18,55,3,18,65,
1,20,53,2,16,40,3,19,52,
1,20,93,2,17,77,3,20,93,
1,20,60,2,16,51,3,20,68,
1,20,103,2,15,96,3,15,96,
1,15,74,2,13,56,3,15,74,
1,20,53,2,19,54,3,19,61,
1,20,59,2,20,80,3,20,80,
1,17,58,2,18,53,3,17,58,
1,18,55,2,17,47,3,18,55,
1,20,68,2,16,57,3,17,65,
1,20,66,2,20,81,3,20,81,
1,19,65,2,17,54,3,19,65,
1,18,62,2,15,52,3,18,62,
1,20,77,2,20,77,3,20,77,
1,18,100,2,14,83,3,18,100,
1,20,63,2,20,62,3,20,62,
1,20,90,2,18,80,3,20,90,
1,20,53,2,19,50,3,20,54,
1,18,53,2,15,47,3,17,52,
1,20,50,2,20,51,3,19,63,
1,20,70,2,18,63,3,18,63,
1,19,69,2,15,54,3,19,69,
1,20,71,2,14,63,3,14,63,
1,18,62,2,17,46,3,18,62,
1,20,61,2,17,52,3,19,62,
1,17,57,2,17,63,3,17,63,
1,20,44,2,17,35,3,19,50,
1,19,65,2,17,70,3,17,70,
1,19,66,2,20,61,3,19,68,
1,20,54,2,16,51,3,20,66,
1,20,69,2,15,52,3,20,69,
1,20,50,2,18,50,3,18,50,
1,19,58,2,15,46,3,19,58,
1,19,61,2,16,48,3,19,61,
1,19,63,2,18,70,3,18,70,
