
mes; As; Spaceexplorer; Praise; Maureen; Juancho; Lulu; Janith; FABIO; Arne; Aaron; Amin; Didier; Imeldaroswara; 
 6; 1; 5; 10; 135; 698; 266; 615; 844; 249; 5; 462; 725; 52; 
 7; 0; 102; 74; 1038; 1161; 1423; 2354; 1843; 800; 50; 3752; 2355; 834; 9; 889; 13; 124; 2; 534; 1422; 
total; 0; 66; 0; 134; 0; 431; 1101; 808; 90; 0; 1877; 1352; 0; 0; 998; 0; 139; 0; 1041; 1222; 823; 

horas; As; Spaceexplorer; Praise; Maureen; Juancho; Lulu; Janith; FABIO; Arne; Aaron; Amin; Didier; Imeldaroswara; Mohamed; Tel; Zahira; Shaiju; Matt; Infected; Tahnacious; Circle; 
0;0; 0; 0; 0; 50; 36; 230; 173; 2; 1; 65; 32; 105; 0; 5; 0; 16; 1; 92; 96; 0; 
1;0; 39; 0; 2; 125; 85; 314; 200; 4; 2; 45; 9; 38; 0; 0; 0; 14; 0; 138; 246; 0; 
2;0; 4; 0; 13; 70; 140; 223; 194; 20; 0; 121; 4; 53; 0; 14; 0; 8; 0; 142; 144; 5; 
3;0; 0; 0; 0; 91; 8; 196; 299; 22; 2; 77; 166; 12; 0; 45; 0; 5; 1; 112; 36; 10; 
4;0; 0; 8; 45; 177; 108; 248; 110; 1; 8; 147; 185; 75; 0; 67; 0; 7; 0; 37; 90; 58; 
5;0; 2; 40; 58; 211; 60; 153; 196; 3; 0; 225; 128; 6; 1; 82; 1; 6; 0; 8; 173; 30; 
6;0; 2; 15; 49; 156; 2; 197; 68; 18; 0; 326; 182; 56; 0; 93; 0; 1; 0; 0; 188; 21; 
7;0; 0; 9; 9; 18; 4; 145; 105; 52; 0; 284; 231; 51; 0; 106; 0; 1; 0; 0; 190; 85; 
8;0; 0; 4; 37; 0; 6; 104; 8; 66; 1; 217; 283; 63; 0; 120; 1; 1; 0; 0; 156; 68; 
9;0; 0; 2; 50; 0; 102; 79; 56; 27; 0; 237; 190; 14; 1; 32; 0; 3; 0; 0; 57; 31; 
10;0; 45; 2; 59; 2; 148; 21; 17; 44; 30; 209; 120; 44; 0; 20; 0; 8; 0; 4; 0; 61; 
11;0; 22; 2; 96; 8; 166; 166; 83; 33; 7; 156; 158; 71; 0; 55; 0; 18; 0; 48; 2; 78; 
12;0; 3; 0; 67; 49; 157; 399; 159; 216; 1; 472; 740; 84; 0; 101; 0; 46; 0; 64; 9; 68; 
13;0; 8; 0; 44; 23; 72; 200; 29; 42; 0; 460; 469; 6; 5; 79; 0; 38; 0; 60; 21; 18; 
14;0; 23; 0; 122; 79; 111; 260; 117; 62; 0; 701; 493; 59; 0; 157; 0; 41; 0; 80; 44; 0; 
15;0; 12; 1; 168; 144; 135; 364; 327; 192; 0; 908; 413; 32; 0; 70; 0; 7; 0; 67; 6; 12; 
16;0; 13; 0; 42; 111; 214; 349; 416; 128; 0; 798; 298; 24; 0; 41; 0; 13; 0; 107; 64; 35; 
17;0; 0; 0; 181; 131; 212; 172; 185; 130; 0; 341; 158; 0; 0; 193; 0; 0; 0; 182; 199; 53; 
18;0; 0; 0; 185; 171; 145; 57; 242; 75; 0; 301; 84; 0; 0; 260; 1; 3; 0; 190; 209; 61; 
19;0; 0; 0; 57; 117; 107; 0; 219; 2; 0; 0; 51; 0; 1; 166; 0; 0; 0; 139; 159; 41; 
20;0; 0; 0; 22; 39; 21; 0; 95; 0; 0; 0; 20; 0; 1; 12; 5; 0; 0; 46; 183; 47; 
21;0; 0; 0; 1; 47; 5; 0; 20; 0; 3; 0; 3; 4; 0; 88; 5; 0; 0; 3; 181; 41; 
22;1; 0; 1; 0; 25; 14; 24; 13; 0; 0; 0; 5; 31; 0; 81; 0; 3; 0; 12; 159; 0; 
23;0; 0; 0; 0; 15; 62; 169; 164; 0; 0; 1; 10; 58; 0; 0; 0; 24; 0; 44; 32; 0; 
