bubble_sort, bubble_sort_ja_ordenado, bubble_sort_inverso, merge_sort, merge_sort_ja_ordenado, merge_sort_inverso, quickSort, quickSort_ja_ordenado, quickSort_inverso
1000,0.001180,0.001000,0.001000,0.000340,0.000000,0.000000,0.000040,0.000000,0.000000
2000,0.005200,0.005000,0.005000,0.000180,0.000000,0.000000,0.000140,0.000000,0.000000
3000,0.011700,0.011000,0.012000,0.000460,0.000000,0.000000,0.000080,0.000000,0.000000
4000,0.020700,0.020000,0.020000,0.000540,0.000000,0.000000,0.000140,0.000000,0.000000
5000,0.032180,0.032000,0.034000,0.000740,0.000000,0.000000,0.000140,0.000000,0.000000
6000,0.046760,0.046000,0.049000,0.000940,0.001000,0.000000,0.000240,0.000000,0.000000
7000,0.063560,0.062000,0.067000,0.001100,0.001000,0.000000,0.000320,0.000000,0.001000
8000,0.082280,0.081000,0.089000,0.001200,0.001000,0.000000,0.000280,0.000000,0.001000
9000,0.104400,0.105000,0.115000,0.001280,0.001000,0.000000,0.000520,0.001000,0.000000
10000,0.129640,0.129000,0.143000,0.001500,0.002000,0.000000,0.000440,0.001000,0.000000
11000,0.155820,0.156000,0.173000,0.001720,0.001000,0.000000,0.000400,0.000000,0.001000
12000,0.186100,0.184000,0.205000,0.001820,0.002000,0.000000,0.000420,0.001000,0.000000
13000,0.217780,0.218000,0.248000,0.002000,0.002000,0.000000,0.000520,0.000000,0.001000
14000,0.252420,0.252000,0.298000,0.002200,0.002000,0.000000,0.000560,0.001000,0.000000
15000,0.290940,0.289000,0.326000,0.002320,0.002000,0.000000,0.000640,0.001000,0.001000
